кóлледж	in Russia: junior college
курс	year level
лицéй	lyceum
лéкция	lecture
магистрату́ра	master's program
отделéние	division
семинáр	seminar
тéхникум	technical college
учи́лище	vocational college
факултéт	department
аспирáнт/ка	graduate student
бакалáвр	bachelor's degree
выпускни́к	high school graduate
доцéнт	"docent, assistant professor"
кандидáт	candidate
коллéга	colleague
маги́стр	master's degree
одноклáссник	classmate (in schools)
одноку́рсник	classmate (in universities)
репети́тор	tutor
специали́ст	specialist
"уче|ни́к, -ни́ца"	pupil
"шкóль|ник, -ница"	"schoolboy, -girl"
аттестáт	diploma (high school)
билéт	ticket
вопрóс	question
диплóм	diploma (university)
диплóмная рабóта	thesis
доклáд	"presentation, paper"
ЕГЭ́ (еди́ный госудáрственный экзáмен)	high school exit exam
задáние	assignment
кани́кулы (pl.)	school holidays
кóнкурс	competition
образовáние	education
прóпуск	ID card
семéстр	semester
сочинéние	essay
специáльность	"specialty, major"
упражнéние	exercise
автомехáник	auto mechanic
дежу́рный/дежу́рная	person on duty
дипломáт	diplomat
косметóлог	cosmetologist
охрáнник	security guard
скрипáч/ка	violinist
дéньги (pl. only)	money
чéтверть (f.)	quarter
биологи́ческий	biology (adj.)
госудáрственный	state (adj.)
истори́ческий	history (adj.)
математи́ческий	mathematics (adj.)
медици́нский	medical (adj.)
физи́ческий	physics (adj.)
филологи́ческий	philology (adj.)
филосóфский	philosophy (adj.)
хими́ческий	chemistry (adj.)
экономи́ческий	economics (adj.)
арáбский	Arabic (adj.)
инострáнный	foreign
корéйский	Korean  (adj.)
пóльский	Polish (adj.)
португáльский	Portuguese (adj.)
роднóй	native (adj.)
украи́нский	Ukrainian (adj.)
пéрвый	first
вторóй	second
трéтий	third
четвёртый	fourth
пя́тый	fifth
шестóй	sixth
седьмóй	seventh
восьмóй	eighth
девя́тый	ninth
деся́тый	tenth
оди́ннадцатый	eleventh
двенáдцатый	twelfth
весéнний	"spring, vernal"
зи́мний	winter (adj.)
лéтний	summer (adj.)
осéнний	"fall, autumnal"
бу́дущий	future
вы́сший	higher (adj.)
вступи́тельный	entrance (adj.)
выпускнóй	exit
другóй	other
контрáктный	contract (adj.)
обязáтельный	"required, compulsory"
пи́сьменный	written
пóлный	full
стáрший	"older, oldest (higher) (adj.)"
студéнческий	student (adj.)
тру́дный	difficult (adj.)
у́чистный	oral
учéбный	study (adj.)
бывá|ть (I)	to be (frequently)
выбирá|ть (I)	to choose
"да|вáть, *дать"	to give
изучá|ть (I)	to study (a subject)
кончá|ться (I)	to end
начинá|ться (I)	to begin
отвечá|ть (I)	to answer
писáть (I)	to write
получá|ть (I)	to receive
поступи́ть (II)	"to get in (a school, university)"
препода|вáть (I)	to teach
проводи́ться (II)	to conduct
продолжá|ть (I)	to continue
снимá|ть (I)	to rent
уч|и́ться (II)	to study (at a place)
чу́вств|ова|ть (I) себя́	to feel
Ни пу́ха ни перá!	Good Luck!
К чёрту!	Go to hell!
Желáю тебé/вам удáчи!	I wish you luck!
дёшево	cheap
дóрого	expensive (adv.)
крóме	except
ли́чно	personally
намнóго	a lot more (with comp.)
напримéр	for example
по-другóму	in another way
потому́ что	because
почему́	why
с роди́телями	with parents
"сáм, самá, сáми"	#NAME?
себя́	oneself
ти́хо	quietly (adv.)
тру́дно	difficult (adv.)
хотя́	although
шу́мно	noisy
*** Chapter 11 (/course/1296376/troika-all-vocab/11/)	
апельси́н	orange (fruit)
банáн	banana
ветчинá	ham
винегрéт	"Russian salad (with beets, etc.)"
винó	wine
виногрáд (collect.)	grapes
водá	water
водкá	vodka
джем	jam
икрá	caviar
капу́ста	cabbage
квáшеная капу́ста	sauerkraut
цветнáя капу́ста	cauliflower
картóфель (m.)	potatoes
колбасá	sausage
кóфе	coffee
ку́рица	chicken
лавáш	flatbread
лимонáд	lemonade
