ягня́тина	lamb (meat)
осётр	sturgeon (m.)
хрен	horseradish
лапшá	noodles
оли́вка/масли́на	olive
ухá	"chowder, fish soup"
щи	cabbage soup
пельмéни	dumplings
вéнчик	"whisk, beater"
дуршлáг	colander
кастрю́ля	(cooking) pot
лопа́тка	spatula
поло́вник	ladle
сковородá	(frying) pan
тёрка	grater
щипцы́	tongs
